@relation 'Circl.io phishing screenshots + Open Page Rank Legitimate Screenshots + phishing and legitimate html analysis-weka.filters.unsupervised.attribute.Remove-R6-10,16-20,26-30,36-40'

@attribute FCTH18 numeric
@attribute FCTH24 numeric
@attribute FCTH25 numeric
@attribute FCTH42 numeric
@attribute FCTH43 numeric
@attribute 'Spatial Pyramid of Local Binary Patterns0' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns1' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns34' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns36' numeric
@attribute 'Spatial Pyramid of Local Binary Patterns37' numeric
@attribute 'MPEG-7 Edge Histogram17' numeric
@attribute 'MPEG-7 Edge Histogram20' numeric
@attribute 'MPEG-7 Edge Histogram37' numeric
@attribute 'MPEG-7 Edge Histogram39' numeric
@attribute 'MPEG-7 Edge Histogram42' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute CLASS_LABEL {0,1}

@data
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,16,16,17,16,1
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,16,17,16,17,16,1
1,0,2,0,0,5,7,3,7,10,0,1,5,3,3,17,16,16,13,16,1
0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,15,16,16,17,16,1
0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,14,9,15,3,16,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,16,16,16,16,1
0,1,0,0,0,0,1,2,0,0,0,0,1,0,2,14,11,15,4,16,1
1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,15,16,15,16,16,1
0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,15,16,15,16,16,1
2,3,1,2,2,0,0,1,0,1,0,0,0,1,2,15,22,12,11,15,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,17,16,18,16,1
2,1,1,0,0,6,10,11,1,2,0,1,5,5,3,22,22,13,16,13,1
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,16,16,16,17,16,1
0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,15,2,15,17,16,1
0,0,0,0,0,2,4,3,1,4,0,3,0,3,0,16,18,16,15,16,1
2,1,1,0,0,7,12,12,2,3,0,1,5,5,3,21,22,13,15,13,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15,11,16,16,15,1
0,0,4,0,0,1,2,0,0,2,1,0,1,2,1,16,16,15,12,16,1
0,0,3,0,0,0,1,0,0,2,1,5,0,1,0,18,18,15,15,16,1
4,2,1,0,0,1,2,5,1,2,0,3,0,0,5,13,24,15,18,17,1
0,2,0,0,0,1,2,2,0,0,0,0,1,0,2,14,14,15,5,16,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,2,14,9,15,3,16,1
0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,16,16,16,15,16,1
0,1,0,0,0,0,1,2,0,0,0,0,1,1,0,14,9,15,3,16,1
0,3,1,0,0,0,1,4,0,1,0,0,0,0,0,16,17,15,18,16,1
0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,14,10,14,3,16,1
0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,15,5,11,23,11,1
0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,16,16,16,16,16,1
0,0,1,0,0,1,3,0,1,3,0,0,1,0,1,16,15,15,16,16,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,8,14,16,16,1
1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,17,15,17,15,17,1
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,17,16,17,16,1
1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,16,15,16,19,16,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,3,15,16,4,15,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,15,6,16,15,16,1
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,17,16,17,16,1
0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,15,16,15,17,15,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16,16,16,17,16,1
0,0,1,0,0,4,7,6,0,2,0,0,0,0,0,14,13,15,12,17,1
0,3,2,0,0,0,2,3,0,2,0,1,0,0,1,14,4,15,16,16,1
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,16,16,16,16,1
2,4,3,3,1,1,3,7,2,4,2,2,1,3,4,13,18,13,18,13,1
1,2,1,1,0,0,0,1,0,0,0,2,4,3,0,17,19,16,17,15,1
0,3,2,0,0,0,1,3,0,0,0,2,0,1,0,16,15,15,18,13,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,16,16,16,19,16,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,16,15,15,16,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,16,16,17,16,1
0,3,2,0,0,0,1,2,0,1,0,2,0,0,0,15,23,16,10,16,1
0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,15,15,15,15,16,1
0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,16,16,15,16,16,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,14,10,15,4,16,1
0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,15,13,16,21,16,1
0,1,1,1,2,4,8,7,2,3,6,2,1,4,1,9,21,15,25,21,1
1,1,0,0,0,2,4,4,0,0,0,0,1,0,2,14,12,14,4,16,1
0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,15,15,15,9,16,1
1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,16,16,16,17,16,1
3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,15,5,15,16,16,1
4,1,0,0,0,0,0,2,0,0,5,4,6,3,4,17,13,14,6,16,1
2,0,0,0,1,5,11,7,5,10,0,2,1,2,0,17,15,16,13,16,1
0,0,1,0,0,3,7,5,3,7,1,1,4,3,6,16,13,15,17,16,1
1,2,0,0,0,0,1,1,0,0,1,0,2,2,0,14,27,15,3,16,1
2,1,0,0,0,0,0,2,0,0,0,3,0,0,0,3,15,16,5,15,1
1,1,1,0,0,2,4,4,0,0,0,0,0,1,4,14,10,14,3,16,1
0,3,1,0,0,0,1,2,0,1,0,0,0,1,0,16,18,16,19,15,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,16,16,17,16,1
1,2,2,0,0,0,0,0,0,0,0,3,0,0,0,23,15,16,18,16,1
1,1,0,0,0,0,0,1,0,0,0,3,0,0,1,3,16,16,5,14,1
5,1,1,1,0,0,2,3,1,3,0,1,1,0,0,18,10,13,13,12,1
0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,15,15,15,15,15,1
0,0,1,0,0,1,3,0,1,3,1,0,1,0,0,16,14,15,16,16,1
0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,16,16,16,16,16,1
3,0,1,0,0,0,2,0,1,2,0,2,0,1,0,16,13,16,12,16,1
0,0,2,0,0,2,7,2,1,4,0,1,0,1,1,16,15,16,16,17,1
5,3,2,3,1,0,2,3,0,1,0,3,0,0,4,17,7,14,18,12,1
1,4,0,1,1,0,1,2,0,0,0,0,1,0,0,19,20,17,19,12,1
2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,16,9,16,15,15,1
3,3,1,1,0,0,1,3,0,0,0,0,0,0,0,14,8,16,21,16,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,18,16,1
0,3,1,0,0,0,0,2,0,0,0,4,0,0,0,8,20,14,16,20,1
0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,16,11,16,17,16,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,16,16,13,16,1
0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,16,15,16,18,16,1
0,2,1,0,0,0,1,3,0,1,2,3,1,2,0,8,25,11,26,13,1
0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,15,7,15,16,16,1
1,4,0,1,0,0,0,1,0,0,0,2,0,0,0,15,14,14,16,15,1
3,1,0,0,0,0,1,3,0,0,0,3,0,0,0,29,15,15,7,15,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,16,17,16,18,16,1
